X-Lamb;Y-Lamb;Hauteur (m);Epaisseur (m);Densite (%);Leaf wall area (m².ha-1);Pourcentage de la dose homologuée à appliquer;Pourcentage du taux de recuperation
766892.89;6284772.25;0.23;0.35;30;8240;34.9;48
766892.37;6284775.18;0.29;0.24;39;8720;40.8;40.8
766891.8;6284777.93;0.35;0.21;19;9200;31;56.8
766891.26;6284780.6;0.31;0.19;36;8880;38.5;43.2
766890.66;6284783.59;0.23;0.19;38;8240;38.2;41.6
766889.95;6284786.75;0.23;0.17;36;8240;36.6;43.2
766889.45;6284789.16;0.21;0.2;30;8080;32.8;48
766888.96;6284791.43;0.25;0.21;33;8400;35.5;45.6
766888.28;6284795.28;0.19;0.17;18;7920;25.8;57.6
766887.65;6284798.05;0.25;0.17;20;8400;27.9;56
766886.99;6284801.13;0.26;0.15;23;8480;29.2;53.6
766886.42;6284803.77;0.24;0.22;25;8320;30.7;52
766885.76;6284806.73;0.28;0.21;20;8640;29.3;56
766885.22;6284809.45;0.25;0.19;15;8400;26.6;60
766884.63;6284812.31;0.27;0.2;17;8560;27.9;58.4
766883.97;6284815.43;0.3;0.16;13;8800;26.9;61.6
766883.45;6284818.13;0.28;0.24;23;8640;30.7;53.6
766882.92;6284820.5;0.25;0.16;41;8400;40.3;39.2
766887.25;6284822.2;0.27;0.21;37;8560;38.6;42.4
766888.17;6284820.12;0.27;0.23;29;8560;33.6;48.8
766888.88;6284817.11;0.27;0.21;34;8560;36.5;44.8
766889.42;6284814.48;0.25;0.23;26;8400;31.5;51.2
766890.07;6284811.38;0.3;0.19;34;8800;36.9;44.8
766890.68;6284808.54;0.2;0.2;32;8000;33.8;46.4
766891.34;6284805.1;0.2;0.17;24;8000;29;52.8
766891.87;6284802.73;0.24;0.19;28;8320;32;49.6
766892.47;6284799.43;0.23;0.16;30;8240;32.7;48
766893.05;6284797.1;0.24;0.14;34;8320;35.1;44.8
766893.96;6284792.82;0.22;0.13;23;8160;28.4;53.6
766894.4;6284790.58;0.18;0.18;38;7840;37;41.6
766895.05;6284787.64;0.24;0.17;34;8320;35.5;44.8
766895.6;6284784.89;0.63;0.17;31;11440;47.8;47.2
766896.32;6284781.61;0.18;0.16;37;7840;36.1;42.4
766896.97;6284778.73;0.18;0.19;43;7840;40.6;37.6
766897.49;6284776.08;0.17;0.19;29;7760;31.4;48.8
766898.18;6284772.88;0.24;0.17;34;8320;35.5;44.8
766898.71;6284770.08;0.25;0.2;42;8400;41.6;38.4
766899.38;6284766.78;0.25;0.24;20;8400;28.8;56
766899.86;6284764.62;0.27;0.22;14;8560;27.2;60.8
766900.61;6284761.48;0.28;0.22;7;8640;25.4;66.4
766901.16;6284758.58;0.37;0.22;16;9360;30.7;59.2
766901.7;6284755.85;0.25;0.2;24;8400;30.1;52.8
766902.32;6284753.06;0.26;0.23;15;8480;27.4;60
766903.17;6284748.92;0.28;0.22;10;8640;26.3;64
766903.55;6284747.14;0.23;0.18;12;8240;25.1;62.4
766904.24;6284743.64;0.25;0.2;18;8400;27.7;57.6
766904.79;6284740.96;0.14;0.22;23;7520;28;53.6
766905.48;6284738.18;0.35;0.22;29;9200;35.1;48.8
766906.04;6284735.49;0.3;0.22;30;8800;34.7;48
766910.88;6284736.6;0.2;0.19;30;8000;32.5;48
766910.26;6284739.63;0.27;0.17;35;8560;36.7;44
766909.68;6284742.3;0.21;0.24;16;8080;26.5;59.2
766909.05;6284745.4;0.24;0.25;11;8320;25.9;63.2
766908.42;6284748.23;0.05;0.27;28;6800;29.7;49.6
766907.83;6284751.26;0.24;0.21;23;8320;29.5;53.6
766907.23;6284753.97;0.22;0.17;16;8160;25.9;59.2
766906.57;6284757.07;0.19;0.23;29;4880;32.2;48.8
766905.85;6284760.42;0.26;0.18;10;8480;25.3;64
766905.36;6284762.75;0.28;0.27;28;4160;33.6;49.6
766904.63;6284765.78;0.26;0.24;22;8480;29.8;54.4
766904.1;6284768.57;0.33;0.23;25;3760;32.8;52
766903.5;6284771.38;0.17;0.21;21;3440;27.4;55.2
766902.95;6284774.07;0.24;0.22;53;2880;50.8;29.6
766902.35;6284777.2;0.19;0.23;11;2880;24.5;63.2
766901.73;6284780.02;0.19;0.18;36;7920;35.9;43.2
766901.1;6284783.24;0.06;0.16;43;5920;37.7;37.6
766900.53;6284786.02;0.4;0.16;30;3200;36.9;48
766899.93;6284788.78;0.15;0.17;44;7600;40.4;36.8
766899.32;6284791.87;0.43;0.15;14;2960;30.9;60.8
766898.78;6284794.48;0.19;0.17;40;7920;38.4;40
766897.94;6284798.03;0.18;0.08;4;7840;20.8;68.8
766897.46;6284800.43;0.42;0.18;6;3040;28.2;67.2
766896.75;6284803.63;0.21;0.15;39;8080;37.9;40.8
766896.09;6284806.64;0.48;0.17;13;2560;32.4;61.6
766895.53;6284809.07;0.17;0.17;35;7760;34.7;44
766894.96;6284812.08;0.23;0.2;45;2960;43.5;36
766894.37;6284814.86;0.28;0.15;25;4160;30.6;52
766893.7;6284817.82;0.28;0.16;23;8640;29.7;53.6
766893.09;6284820.55;0.1;0.17;31;7200;31.1;47.2
766892.67;6284822.57;0.17;0.13;25;7760;28.6;52
766897.79;6284823.83;0.22;0.19;31;8160;33.4;47.2
766898.3;6284821.25;0.02;0.23;26;6560;27.8;51.2
766898.9;6284818.39;0.33;0.2;23;9040;31.7;53.6
766899.5;6284815.47;0.25;0.23;10;3600;25.6;64
766900.17;6284812.74;0.18;0.2;38;3360;37.3;41.6
766900.88;6284809.49;0.2;0.2;30;8000;32.6;48
766901.57;6284806.44;0.22;0.24;12;3040;25.6;62.4
766902.2;6284803.65;0.27;0.24;20;8560;29.4;56
766902.67;6284801.22;0.22;0.19;44;3040;42.3;36.8
766903.35;6284797.85;0.16;0.23;39;5120;37.9;40.8
766903.93;6284795.08;0.24;0.2;47;3680;45.3;34.4
766904.47;6284792.02;0.27;0.27;6;3440;25.5;67.2
766905.08;6284789.25;0.25;0.17;43;3600;41.9;37.6
766905.68;6284785.95;0.25;0.18;40;2800;39.9;40
766906.27;6284783.23;0.13;0.24;24;2960;28.5;52.8
766906.92;6284779.85;0.16;0.18;21;3520;26.9;55.2
766907.48;6284776.92;0.3;0.22;20;3200;30;56
766908.04;6284774.46;0.11;0.2;44;2320;40;36.8
766908.79;6284771.17;0.25;0.23;31;8400;34.5;47.2
766909.21;6284768.91;0.22;0.25;7;1440;24.3;66.4
766909.86;6284766.03;0.15;0.26;43;2400;41;37.6
766910.39;6284763.4;0.16;0.23;8;1600;23;65.6
766911.11;6284759.92;0.15;0.22;12;1200;23.7;62.4
766911.75;6284756.91;0.27;0.21;24;8560;30.5;52.8
766912.4;6284753.78;0.29;0.27;17;880;29.4;58.4
766913.1;6284750.79;0.24;0.22;28;8320;32.4;49.6
766913.78;6284748.01;0.14;0.15;14;2080;23.2;60.8
766914.38;6284744.86;0.22;0.22;27;3040;31.4;50.4
766914.99;6284741.65;0.29;0.17;21;8720;29.3;55.2
766915.63;6284738.42;0.12;0.17;10;4640;22;64
766916.05;6284736.47;0.12;0.21;16;5440;24.3;59.2
766916.9;6284732.88;0.13;0.2;21;7440;26.7;55.2
766920.48;6284732.36;0.2;0.2;4;8000;22.5;68.8
766921.25;6284734.91;0.17;0.23;23;7760;28.6;53.6
766920.64;6284738.04;0.33;0.26;5;9040;26.5;68
766920.28;6284740.08;0.12;0.19;0;5440;19.8;72
766919.77;6284743.02;0.18;0.11;9;3360;22.3;64.8
766919.15;6284746.16;0.18;0.23;19;3360;26.7;56.8
766918.26;6284749.94;0.16;0.21;13;2720;24.1;61.6
766917.7;6284752.56;0.11;0.28;12;2320;23.5;62.4
766917.02;6284755.63;0.21;0.25;41;2320;40.7;39.2
766916.37;6284758.78;0.19;0.18;18;2480;25.9;57.6
766915.85;6284761.28;0.16;0.22;37;2720;36.4;42.4
766915.32;6284764;0.19;0.24;27;2480;31.1;50.4
766914.46;6284767.87;0.19;0.27;9;1680;24.4;64.8
766914.09;6284769.8;0.25;0.2;3;2400;23.3;69.6
766913.4;6284772.83;0.34;0.21;32;9120;36.6;46.4
766912.84;6284775.85;0.29;0.2;28;8720;33;49.6
766912.17;6284778.84;0.23;0.23;-2;2960;21.9;73.6
766911.73;6284781.22;0.23;0.22;23;2960;29.4;53.6
766911.11;6284784.02;0.21;0.18;22;3120;28.2;54.4
766910.51;6284787.01;0.15;0.18;39;2400;37.1;40.8
766909.91;6284789.75;0.26;0.18;36;8480;37.3;43.2
766909.3;6284792.81;0.18;0.2;17;3360;25.6;58.4
766908.86;6284795.38;0.2;0.16;36;8000;35.8;43.2
766908.23;6284798.33;0.16;0.2;5;3520;21.9;68
766907.45;6284801.29;0.23;0.19;32;8240;34.2;46.4
766906.82;6284804.25;0.24;0.2;25;8320;30.4;52
766906.18;6284807.24;0.16;0.18;20;2720;26.4;56
766905.54;6284810.26;0.3;0.17;32;8800;35.3;46.4
766905.03;6284812.79;0.15;0.17;-1;2800;20;72.8
766904.32;6284816.07;0.22;0.21;35;8960;36.2;44
766903.71;6284819.15;0.25;0.17;38;8400;38.3;41.6
766903.15;6284821.93;0.14;0.17;23;6080;27.5;53.6
766902.69;6284824.51;0.16;0.21;33;7680;33.8;45.6
766896.33;6284765.89;0.39;0.21;63;3120;65.9;21.6
766896.1;6284768.08;0.3;0.28;61;2400;61.9;23.2
766895.66;6284771.03;0.27;0.22;55;2160;53.6;28
766895.2;6284773.68;0.51;0.22;55;4080;61.1;28
766894.63;6284776.63;0.34;0.2;60;2720;60.5;24
766894.02;6284779.54;0.42;0.17;57;3360;59.3;26.4
766893.51;6284782.12;0.37;0.14;60;2960;60.2;24
766892.89;6284785.08;0.32;0.17;70;2560;71;16
766892.25;6284787.87;0.22;0.18;72;1760;69.9;14.4
766891.74;6284790.48;0.29;0.19;67;2320;66.6;18.4
766891.09;6284793.85;0.35;0.17;59;2800;59.1;24.8
766890.56;6284796.54;0.46;0.17;61;3680;65.1;23.2
766889.91;6284799.44;0.34;0.18;64;2720;64.6;20.8
766889.27;6284802.38;0.43;0.17;57;3440;59.6;26.4
766888.62;6284805.35;0.31;0.16;60;2480;58.7;24
766888.04;6284808.04;0.36;0.16;62;2880;62.6;22.4
766887.46;6284811.04;0.44;0.19;61;3520;64.8;23.2
766886.83;6284814.08;0.33;0.22;63;2640;64;21.6
766886.2;6284816.9;0.42;0.16;66;3360;69.5;19.2
766885.69;6284819.56;0.35;0.19;62;2800;62.9;22.4
766885.93;6284822.13;0.48;0.43;69;3840;83.1;16.8
766890.21;6284822.25;0.41;0.22;64;3280;68;20.8
766891.02;6284818.98;0.35;0.18;38;2800;40.6;41.6
766891.5;6284816.86;0.37;0.19;65;2960;67.1;20
766892.08;6284813.86;0.37;0.19;59;2960;60.2;24.8
766892.7;6284811.01;0.3;0.18;64;2400;63.2;20.8
766893.36;6284807.87;0.43;0.2;59;3440;62.4;24.8
766893.95;6284804.84;0.23;0.21;63;1840;60.4;21.6
766894.53;6284802.12;0.39;0.19;62;3120;64.2;22.4
766895.16;6284798.95;0.36;0.17;62;2880;62.8;22.4
766895.88;6284795.89;0.32;0.19;64;2560;64.1;20.8
766896.52;6284792.76;0.39;0.14;63;3120;64.3;21.6
766897.09;6284789.89;0.29;0.21;67;2320;67;18.4
766897.71;6284787.14;0.34;0.19;65;2720;66;20
766898.35;6284783.94;0.41;0.16;66;3280;69.1;19.2
766898.95;6284781.27;0.33;0.2;66;2640;67.1;19.2
766899.63;6284778.21;0.41;0.2;62;3280;65.2;22.4
766900.25;6284775.21;0.29;0.2;61;2320;59.9;23.2
766900.79;6284772.38;0.25;0.24;61;2000;59.5;23.2
766901.37;6284769.39;0.44;0.24;59;3520;63.6;24.8
766902.02;6284766.43;0.22;0.27;59;1760;57;24.8
766902.58;6284764.01;0.23;0.23;66;1840;64.1;19.2
766903.2;6284761.16;0.25;0.23;57;2000;55.1;26.4
766903.8;6284758.04;0.24;0.25;56;1920;54.2;27.2
766904.56;6284754.53;0.22;0.25;57;1760;54.6;26.4
766905.06;6284752.07;0.19;0.28;69;1520;67.4;16.8
766905.69;6284749.1;0.2;0.25;74;1600;73.4;12.8
766906.1;6284747.07;0.18;0.23;62;1440;58.1;22.4
766906.93;6284742.88;0.21;0.24;57;1680;54.1;26.4
766907.42;6284740.7;0.43;0.21;52;3440;55.2;30.4
766908.1;6284737.91;0.36;0.15;51;2880;51.1;31.2
766911.8;6284736.03;0.58;0.22;45;4640;55.1;36
766913.17;6284737.94;0.22;0.23;54;1760;51.4;28.8
766912.58;6284740.82;0.28;0.26;53;2240;52.7;29.6
766911.93;6284743.87;0.22;0.25;60;1760;57.6;24
766911.24;6284747.03;0.27;0.23;53;2160;51.8;29.6
766910.77;6284749.28;0.21;0.29;57;1680;55.1;26.4
766910.06;6284752.75;0.2;0.21;63;1600;59.4;21.6
766909.43;6284755.64;0.24;0.25;61;1920;59.3;23.2
766908.79;6284758.52;0.21;0.26;68;1680;66.5;17.6
766908.22;6284761.33;0.31;0.23;62;2480;62.3;22.4
766907.52;6284764.33;0.3;0.23;59;2400;58.7;24.8
766906.91;6284767.19;0.17;0.26;43;1360;41.4;37.6
766906.32;6284770.09;0.4;0.29;38;3200;43.3;41.6
766905.67;6284773.23;0.25;0.3;67;2000;67.6;18.4
766905.2;6284775.77;0.37;0.25;72;2960;77.7;14.4
766904.55;6284778.79;0.4;0.19;65;3200;68.2;20
766904.01;6284781.36;0.3;0.24;73;2400;75.9;13.6
766903.42;6284784.41;0.22;0.19;77;1760;76.8;10.4
766902.88;6284786.98;0.15;0.28;46;1200;43.5;35.2
766902.19;6284790.23;0.2;0.18;71;1600;67.9;15.2
766901.59;6284793.25;0.22;0.21;75;1760;74.6;12
766901.09;6284795.65;0.34;0.28;74;2720;80.1;12.8
766900.32;6284798.83;0.32;0.28;72;2560;76.4;14.4
766899.76;6284801.74;0.14;0.48;52;1120;51.6;30.4
766898.9;6284805.48;0.31;0.24;65;2480;66;20
766898.33;6284807.99;0.33;0.18;61;2640;60.9;23.2
766897.76;6284810.62;0.24;0.31;60;1920;59.5;24
766897.24;6284813.44;0.3;0.22;65;2400;65.2;20
766896.6;6284816.27;0.29;0.19;69;2320;69;16.8
766895.94;6284819.3;0.3;0.18;66;2400;65.5;19.2
766895.4;6284821.72;0.26;0.18;60;2080;57.5;24
766897.38;6284825.24;0.32;0.21;59;2560;59;24.8
766900.35;6284823.69;0.32;0.19;63;2560;63;21.6
766900.96;6284820.7;0.18;0.16;59;1440;53.7;24.8
766901.55;6284817.84;0.31;0.14;56;2480;54.3;27.2
766902.18;6284815.05;0.25;0.17;55;2000;52.1;28
766902.87;6284812.12;0.21;0.16;47;1680;44;34.4
766903.49;6284809.28;0.25;0.14;59;2000;55.4;24.8
766904.16;6284806.32;0.23;0.14;57;1840;52.9;26.4
766904.82;6284803.34;0.25;0.15;71;2000;69.1;15.2
766905.48;6284799.95;0.28;0.14;80;2240;82.3;8
766906.03;6284797.24;0.2;0.15;78;1600;76.3;9.6
766906.62;6284794.18;0.3;0.21;67;2400;67.4;18.4
766907.16;6284791.41;0.26;0.2;53;2080;51;29.6
766907.81;6284788.34;0.15;0.23;50;1200;46;32
766908.35;6284785.49;0.27;0.19;59;2160;57;24.8
766908.91;6284782.51;0.23;0.22;58;1840;55.3;25.6
766909.56;6284779.48;0.29;0.2;59;2320;57.8;24.8
766910.11;6284776.53;0.34;0.21;58;2720;58.6;25.6
766910.75;6284773.85;0.21;0.24;66;1680;63.7;19.2
766911.37;6284771.03;0.27;0.19;61;2160;59.1;23.2
766912.12;6284767.31;0.02;0.18;28;160;28.3;49.6
766912.67;6284764.74;0.28;0.22;60;2240;59;24
766913.44;6284761.05;0.68;0.05;37;5440;52.6;42.4
766914.01;6284758.28;0.11;0.23;59;880;52.9;24.8
766914.5;6284755.94;0.25;0.26;74;2000;75.7;12.8
766915.08;6284753.24;0.08;0.32;24;640;28.5;52.8
766915.73;6284750.51;0.27;0.21;66;2160;65.1;19.2
766916.54;6284746.77;0.31;0.39;66;2480;70.8;19.2
766917.04;6284744.13;0.23;0.29;63;1840;62;21.6
766917.66;6284741.07;0.22;0.27;75;1760;76.1;12
766918.22;6284738.34;0.23;0.24;69;1840;68;16.8
766918.84;6284735.29;0.26;0.18;70;2080;68.9;16
766919.48;6284732.84;0.31;0.16;89;2480;99.1;0.8
766924.02;6284733.86;0.27;0.13;66;2160;63.4;19.2
766923.59;6284735.96;0.25;0.14;59;2000;55.4;24.8
766923;6284739.14;0.24;0.25;58;1920;56.2;25.6
766922.4;6284742.4;0.2;0.25;83;1600;86.4;5.6
766921.97;6284744.88;0.18;0.41;74;1440;76.7;12.8
766921.28;6284747.94;0.22;0.18;72;1760;69.9;14.4
766920.54;6284751.2;0.24;0.19;79;1920;80.5;8.8
766919.99;6284753.79;0.18;0.25;61;1440;57.4;23.2
766919.35;6284756.67;0.21;0.22;67;1680;64.4;18.4
766918.81;6284759.34;0.1;0.34;39;800;38.1;40.8
766918.15;6284762.7;0.22;0.21;68;1760;65.7;17.6
766917.61;6284765.39;0.25;0.2;67;2000;65.4;18.4
766916.84;6284768.88;0.18;0.43;61;640;61.1;23.2
766916.26;6284771.51;0.22;0.23;61;1760;58.3;23.2
766915.63;6284774.55;0.3;0.17;57;2400;55.5;26.4
766915.12;6284777.11;0.27;0.22;60;2160;58.6;24
766914.55;6284779.73;0.3;0.18;59;2400;57.7;24.8
766913.98;6284782.64;0.3;0.21;60;2400;59.4;24
766913.34;6284785.71;0.31;0.19;60;2480;59.3;24
766912.73;6284788.51;0.32;0.21;56;2560;55.9;27.2
766912.13;6284791.31;0.27;0.17;61;2160;58.7;23.2
766911.61;6284794.08;0.26;0.16;55;2080;52.2;28
766911.1;6284796.99;0.21;0.2;65;1680;61.7;20
766910.39;6284799.9;0.19;0.19;68;1520;64.2;17.6
766909.65;6284802.92;0.23;0.21;67;1840;64.9;18.4
766909.09;6284805.51;0.29;0.15;67;2320;65.7;18.4
766908.48;6284808.57;0.1;0.31;40;800;38.4;40
766907.8;6284811.63;0.32;0.17;54;2560;53.1;28.8
766907.21;6284814.44;0.28;0.2;68;2240;67.7;17.6
766906.61;6284817.41;0.27;0.21;65;2160;64;20
766905.99;6284820.5;0.26;0.2;73;2080;73.2;13.6
766905.41;6284823.42;0.25;0.25;63;2000;;21.6
